asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,rr_ratio,power_setup,max_hold_bar,exit_ts,exit_price,outcome,pnl_usd,fold
SUI,2025-11-17 16:00:00+00:00,1.5964,-1.0,1.4490640130421841,1.6384718383881092,2680.783683881916,2.0,0.9010204672813416,3.502,False,2025-11-22 20:00:00+00:00,2025-11-18 00:00:00+00:00,1.6384718383881092,sl,-74.13491724918167,7
FIL,2025-11-19 05:00:00+00:00,1.83,-1.0,1.6871073861044168,1.8708030317833397,5232.285809174239,3.0,0.9736387729644775,3.502,True,2025-11-24 09:00:00+00:00,2025-11-19 07:00:00+00:00,1.8708030317833397,sl,-123.46488093512517,7
NEAR,2025-11-16 16:00:00+00:00,2.276,-1.0,1.992367948582602,2.3569912233617245,2748.8081818353,2.0,0.9082955718040466,3.502,False,2025-11-21 20:00:00+00:00,2025-11-19 20:00:00+00:00,2.3569912233617245,sl,-101.38950399032227,7
TRX,2025-11-19 12:00:00+00:00,0.2839,-1.0,0.2748566592301699,0.2864823288608086,2728.819991092032,2.0,0.9109837412834167,3.502,False,2025-11-24 16:00:00+00:00,2025-11-19 20:00:00+00:00,0.2864823288608086,sl,-28.36856714709685,7
SUI,2025-11-19 16:00:00+00:00,1.5182,-1.0,1.3600589825119973,1.5633572183256987,4093.229986638048,3.0,0.9251390099525452,3.502,False,2025-11-24 20:00:00+00:00,2025-11-19 20:00:00+00:00,1.5633572183256987,sl,-127.06990150134325,7
HBAR,2025-11-19 17:00:00+00:00,0.14004,-1.0,0.13370770402805188,0.1418481891482069,2728.819991092032,2.0,0.8747292757034302,3.502,False,2025-11-24 21:00:00+00:00,2025-11-19 20:00:00+00:00,0.1418481891482069,sl,-38.7818468460509,7
APT,2025-11-20 04:00:00+00:00,2.999,-1.0,2.8611967120787796,3.038349773117084,4839.403277530548,3.0,0.9913814663887024,3.502,True,2025-11-25 08:00:00+00:00,2025-11-20 12:00:00+00:00,3.038349773117084,sl,-69.7888638049373,7
APT,2025-11-20 12:00:00+00:00,3.059,-1.0,2.9517326679249596,3.089630221119548,4773.97621771342,3.0,0.9804621934890747,3.502,True,2025-11-25 16:00:00+00:00,2025-11-20 16:00:00+00:00,2.9517326679249596,tp,162.63095750697164,7
HBAR,2025-11-20 17:00:00+00:00,0.13631,1.0,0.1421000870123717,0.13465663879431344,3941.1541923009645,3.0,0.9336415529251099,3.502,False,2025-11-25 21:00:00+00:00,2025-11-21 07:00:00+00:00,0.13465663879431344,sl,-52.92741393527699,7
LTC,2025-11-20 16:00:00+00:00,87.07,-1.0,80.18570790314017,89.03581181893158,4926.442740376206,3.0,0.9640560150146484,3.502,True,2025-11-25 20:00:00+00:00,2025-11-21 12:00:00+00:00,80.18570790314017,tp,384.58855465487323,7
HBAR,2025-11-21 07:00:00+00:00,0.1314,-1.0,0.12415749765186768,0.13346809887121036,4876.823289811883,3.0,0.9925451874732971,3.502,True,2025-11-26 11:00:00+00:00,2025-11-21 12:00:00+00:00,0.12415749765186768,tp,263.92381695287395,7
HBAR,2025-11-23 09:00:00+00:00,0.13791,-1.0,0.13310645925342793,0.13928165260268927,5484.803638194147,3.0,0.9789925217628479,3.502,True,2025-11-28 13:00:00+00:00,2025-11-23 11:00:00+00:00,0.13928165260268927,sl,-61.6820914816539,7
TAO,2025-11-21 04:00:00+00:00,283.8,-1.0,229.94059058395987,299.1795716540007,2955.8656442257234,3.0,0.9316143989562988,3.502,False,2025-11-26 08:00:00+00:00,2025-11-23 16:00:00+00:00,299.1795716540007,sl,-164.025667884951,7
HBAR,2025-11-23 13:00:00+00:00,0.14329,1.0,0.14887259910726308,0.14169588703224542,2894.3875612960514,2.0,0.882865846157074,3.502,False,2025-11-28 17:00:00+00:00,2025-11-23 18:00:00+00:00,0.14887259910726308,tp,109.87137010333304,7
APT,2025-11-24 09:00:00+00:00,2.242,-1.0,2.1378645608322597,2.27173590809416,5376.20702325983,3.0,0.9887334108352661,3.502,True,2025-11-29 13:00:00+00:00,2025-11-24 12:00:00+00:00,2.27173590809416,sl,-78.29433136878883,7
ICP,2025-11-24 12:00:00+00:00,3.918,-1.0,3.604158594704925,4.007617514062277,3977.1045657011923,3.0,0.9657301306724548,3.502,True,2025-11-29 16:00:00+00:00,2025-11-24 15:00:00+00:00,4.007617514062277,sl,-96.13966532384235,7
DOT,2025-11-25 14:00:00+00:00,2.205,-1.0,2.1265069340107825,2.2274137201987934,5212.675151360488,3.0,0.9535253643989563,3.502,True,2025-11-30 18:00:00+00:00,2025-11-25 16:00:00+00:00,2.2274137201987934,sl,-59.76307285767404,7
TRX,2025-11-21 04:00:00+00:00,0.2757,-1.0,0.26691112552888807,0.2782096659274958,3941.1541923009645,3.0,0.9459419250488281,3.502,False,2025-11-26 08:00:00+00:00,2025-11-26 08:00:00+00:00,0.2753,time,1.776878730877965,7
